 ID,Date,Card,Keyword,Order,Created,Updated
2867,11/30,Three of Hearts,,,2023-06-10T23:28:18.687Z,2023-06-10T23:28:34.231Z
2865,12/30,Ace of Hearts,,,2022-03-24T20:10:40.165Z,2022-03-24T20:10:40.165Z
2864,12/29,Two of Hearts,,,2022-03-24T20:10:40.149Z,2022-03-24T20:10:40.149Z
2863,12/28,Three of Hearts,,,2022-03-24T20:10:40.133Z,2022-03-24T20:10:40.133Z
2862,12/27,Four of Hearts,,,2022-03-24T20:10:40.116Z,2022-03-24T20:10:40.116Z
2861,12/26,Five of Hearts,,,2022-03-24T20:10:40.101Z,2022-03-24T20:10:40.101Z
2860,12/25,Six of Hearts,,,2022-03-24T20:10:40.085Z,2022-03-24T20:10:40.085Z
2859,12/24,Seven of Hearts,,,2022-03-24T20:10:40.063Z,2022-03-24T20:10:40.063Z
2858,12/23,Eight of Hearts,,,2022-03-24T20:10:39.912Z,2022-03-24T20:10:39.912Z
2857,12/22,Nine of Hearts,,,2022-03-24T20:10:39.896Z,2022-03-24T20:10:39.896Z
2856,12/21,Ten of Hearts,,,2022-03-24T20:10:39.880Z,2022-03-24T20:10:39.880Z
2855,12/20,Jack of Hearts,,,2022-03-24T20:10:39.858Z,2022-03-24T20:10:39.858Z
2854,12/19,Queen of Hearts,,,2022-03-24T20:10:39.842Z,2022-03-24T20:10:39.842Z
2853,12/18,King of Hearts,,,2022-03-24T20:10:39.827Z,2022-03-24T20:10:39.827Z
2852,12/17,Ace of Clubs,,,2022-03-24T20:10:39.809Z,2022-03-24T20:10:39.809Z
2851,12/16,Two of Clubs,,,2022-03-24T20:10:39.794Z,2022-03-24T20:10:39.794Z
2850,12/15,Three of Clubs,,,2022-03-24T20:10:39.777Z,2022-03-24T20:10:39.777Z
2849,12/14,Four of Clubs,,,2022-03-24T20:10:39.760Z,2022-03-24T20:10:39.760Z
2848,12/13,Five of Clubs,,,2022-03-24T20:10:39.741Z,2022-03-24T20:10:39.741Z
2847,12/12,Six of Clubs,,,2022-03-24T20:10:39.722Z,2022-03-24T20:10:39.722Z
2846,12/11,Seven of Clubs,,,2022-03-24T20:10:39.699Z,2022-03-24T20:10:39.699Z
2845,12/10,Eight of Clubs,,,2022-03-24T20:10:39.684Z,2022-03-24T20:10:39.684Z
2844,12/9,Nine of Clubs,,,2022-03-24T20:10:39.667Z,2022-03-24T20:10:39.667Z
2843,12/8,Ten of Clubs,,,2022-03-24T20:10:39.631Z,2022-03-24T20:10:39.631Z
2842,12/7,Jack of Clubs,,,2022-03-24T20:10:39.603Z,2022-03-24T20:10:39.603Z
2841,12/6,Queen of Clubs,,,2022-03-24T20:10:39.581Z,2022-03-24T20:10:39.581Z
2840,12/5,King of Clubs,,,2022-03-24T20:10:39.564Z,2022-03-24T20:10:39.564Z
2839,12/4,Ace of Diamonds,,,2022-03-24T20:10:39.546Z,2022-03-24T20:10:39.546Z
2838,12/3,Two of Diamonds,,,2022-03-24T20:10:39.527Z,2022-03-24T20:10:39.527Z
2837,12/2,Three of Diamonds,,,2022-03-24T20:10:39.510Z,2022-03-24T20:10:39.510Z
2836,12/1,Four of Diamonds,,,2022-03-24T20:10:39.486Z,2022-03-24T20:10:39.486Z
2835,1/1,King of Spades,,1,2022-03-24T20:10:39.462Z,2023-06-10T23:29:08.109Z
2834,1/2,Queen of Spades,,2,2022-03-24T20:10:39.313Z,2023-06-10T23:29:18.386Z
2833,1/3,Jack of Spades,,3,2022-03-24T20:10:39.290Z,2023-06-10T23:29:41.443Z
